,title,final,vote_average
0,Toy Story,Animation Comedy Family TomHanks TimAllen DonRickles JohnLasseter,7.968
1,Jumanji,Adventure Fantasy Family RobinWilliams JonathanHyde KirstenDunst JoeJohnston,7.238
2,Heat,Action Crime Drama Thriller AlPacino RobertDeNiro ValKilmer MichaelMann,7.896
3,Sabrina,Comedy Romance HarrisonFord JuliaOrmond GregKinnear SydneyPollack,7.53
4,GoldenEye,Adventure Action Thriller PierceBrosnan SeanBean IzabellaScorupco MartinCampbell,6.873
5,The American President,Comedy Drama Romance MichaelDouglas AnnetteBening MichaelJ.Fox RobReiner,6.584
6,Balto,Family Animation Adventure KevinBacon BobHoskins BridgetFonda SimonWells,7.301
7,Nixon,History Drama AnthonyHopkins JoanAllen PowersBoothe OliverStone,6.937
8,Casino,Drama Crime RobertDeNiro SharonStone JoePesci MartinScorsese,8.015
9,Sense and Sensibility,Drama Romance KateWinslet EmmaThompson HughGrant AngLee,7.458
10,Assassins,Action Adventure Crime Thriller SylvesterStallone AntonioBanderas JulianneMoore RichardDonner,6.9
11,Powder,Drama Fantasy SciFi Thriller MarySteenburgen SeanPatrickFlanery LanceHenriksen VictorSalva,6.889
12,Leaving Las Vegas,Drama Romance NicolasCage ElisabethShue JulianSands MikeFiggis,7.259
13,Othello,Drama LaurenceFishburne IrèneJacob KennethBranagh OliverParker,6.6
14,Now and Then,Comedy Drama Family ChristinaRicci RosieO'Donnell ThoraBirch LesliLinkaGlatter,6.912
15,Dangerous Minds,Drama Crime MichellePfeiffer GeorgeDzundza CourtneyB.Vance JohnN.Smith,6.96
16,Twelve Monkeys,SciFi Thriller Mystery BruceWillis MadeleineStowe BradPitt TerryGilliam,7.598
17,Dead Man Walking,Drama SusanSarandon SeanPenn RobertProsky TimRobbins,7.371
18,Clueless,Comedy Drama Romance AliciaSilverstone StaceyDash BrittanyMurphy AmyHeckerling,7.3
19,"Cry, the Beloved Country",Drama JamesEarlJones CharlesS.Dutton JackRobinson DarrellJamesRoodt,6.7
20,Richard III,Drama War IanMcKellen AnnetteBening JimBroadbent RichardLoncraine,6.8
21,Dead Presidents,Action Crime Drama History LarenzTate KeithDavid ChrisTucker AlbertHughes,6.68
22,Mortal Kombat,Action Fantasy ChristopherLambert RobinShou LindenAshby PaulW.S.Anderson,7.094
23,To Die For,Fantasy Drama Comedy Thriller NicoleKidman MattDillon JoaquinPhoenix GusVanSant,6.595
24,Se7en,Crime Mystery Thriller BradPitt MorganFreeman GwynethPaltrow DavidFincher,8.366
25,Pocahontas,Adventure Animation Drama Family IreneBedard MelGibson DavidOgdenStiers MikeGabriel,6.933
26,The Usual Suspects,Drama Crime Thriller StephenBaldwin GabrielByrne ChazzPalminteri BryanSinger,8.198
27,Mighty Aphrodite,Comedy Romance WoodyAllen MiraSorvino HelenaBonhamCarter WoodyAllen,6.755
28,Mr. Holland's Opus,Music Drama Family RichardDreyfuss GlenneHeadly JayThomas StephenHerek,6.999
29,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Comedy ShawnWayans MarlonWayans TraceyCherelleJones ParisBarclay,6.981
30,Friday,Comedy IceCube ChrisTucker NiaLong F.GaryGray,7.136
31,From Dusk Till Dawn,Horror Action Thriller Crime GeorgeClooney QuentinTarantino HarveyKeitel RobertRodriguez,7.008
32,Nico Icon,Documentary Nico TinaAumont JacksonBrowne SusanneOfteringer,6.9
33,Last Summer in the Hamptons, VictoriaFoyt VivecaLindfors JonRobinBaitz HenryJaglom,7.5
34,Beautiful Girls,Comedy Drama Romance MattDillon NoahEmmerich AnnabethGish TedDemme,6.639
35,A Midwinter's Tale,Comedy RichardBriers JoanCollins MichaelMaloney KennethBranagh,7.125
36,Heidi Fleiss: Hollywood Madam,Documentary NickBroomfield HeidiFleiss MadamAlex NickBroomfield,6.6
37,Bottle Rocket,Comedy Crime Drama LukeWilson OwenWilson LumiCavazos WesAnderson,6.7
38,Happy Gilmore,Comedy AdamSandler BenStiller ChristopherMcDonald DennisDugan,6.617
39,The Bridges of Madison County,Drama Romance MerylStreep ClintEastwood AnnieCorley ClintEastwood,7.693
40,Muppet Treasure Island,Action Comedy Music Family Adventure TimCurry KevinBishop JenniferSaunders BrianHenson,6.628
41,Catwalk,Documentary ChristyTurlington AzzedineAlaïa GiorgioArmani RobertLeacock,7.4
42,Braveheart,Action Drama History War MelGibson CatherineMcCormack SophieMarceau MelGibson,7.929
43,Taxi Driver,Crime Drama RobertDeNiro CybillShepherd HarveyKeitel MartinScorsese,8.163
44,Margaret's Museum,Drama HelenaBonhamCarter CliveRussell CraigOlejnik MortRansen,6.7
45,Happiness Is in the Field,Comedy MichelSerrault EddyMitchell SabineAzéma ÉtienneChatiliez,6.893
46,Anne Frank Remembered,Documentary Drama Foreign KennethBranagh GlennClose JonBlair,8.1
47,The Young Poisoner's Handbook,Comedy Crime Drama TobiasArnold RuthSheen RogerLloydPack BenjaminRoss,6.679
48,The Boys of St. Vincent,Drama HenryCzerny JohnnyMorina BrianDooley JohnN.Smith,7.257
49,Jupiter's Wife, MaggieCogan MichelNegroponte,7.2
